participant_id	age	sex	group	young	old
sub-104	20	M	control	1	0
sub-105	21	F	control	1	0
sub-106	20	F	control	1	0
sub-107	23	M	control	1	0
sub-108	21	F	control	1	0
sub-109	28	F	control	1	0
sub-110	20	M	control	1	0
sub-111	80	M	control	0	1
sub-112	23	F	control	1	0
sub-113	34	F	control	1	0
sub-115	21	F	control	1	0
sub-116	25	F	control	1	0
sub-117	20	F	control	1	0
sub-118	21	F	control	1	0
sub-120	18	M	control	1	0
sub-121	20	F	control	1	0
sub-122	20	F	control	1	0
sub-124	20	M	control	1	0
sub-125	21	F	control	1	0
sub-126	20	M	control	1	0
sub-127	76	F	control	0	1
sub-128	63	M	control	0	1
sub-129	68	M	control	0	1
sub-130	68	F	control	0	1
sub-131	65	M	control	0	1
sub-132	73	F	control	0	1
sub-133	70	M	control	0	1
sub-134	65	F	control	0	1
sub-135	69	M	control	0	1
sub-136	65	F	control	0	1
sub-137	72	M	control	0	1
sub-138	68	M	control	0	1
