subnum,avg_comp,avg_OutGrp,avg_InGrp,avg_comp_RT,avg_OutGrp_RT,avg_InGrp_RT,misses
104,1.000000,1.000000,1.000000,1.415833,1.474410,1.388801,0.000000
105,0.643750,0.666667,0.781250,1.638494,1.604172,1.720243,0.500000
106,0.421875,0.437500,0.421875,1.349390,1.304374,1.305262,0.000000
107,0.406250,0.618659,0.476815,1.596115,1.490109,1.542787,1.000000
108,0.546875,0.687500,0.562500,1.247173,1.164628,1.126289,0.000000
109,0.946429,0.852273,0.911330,1.793722,1.802747,1.776884,9.000000
110,0.687500,0.604167,0.671875,1.027715,1.028633,1.030395,0.000000
111,0.656250,0.583333,0.775202,1.188420,1.289053,1.188336,0.500000
112,0.888542,0.750000,0.812500,1.553388,1.542573,1.589235,0.500000
113,0.453125,0.520833,0.546875,1.563750,1.541621,1.586923,0.000000
115,0.573118,0.534420,0.640625,1.657802,1.616653,1.553833,1.500000
116,0.437500,0.458333,0.460685,1.407473,1.358060,1.361548,0.500000
117,0.843750,0.833333,0.890625,1.423477,1.390290,1.417330,0.000000
118,0.718750,0.770833,0.718750,1.571539,1.324012,1.303079,0.000000
120,0.500000,0.479167,0.500000,1.132517,1.129490,1.155017,0.000000
121,0.609375,0.687500,0.671875,1.383923,1.389243,1.344551,0.000000
122,0.921875,0.937500,0.868750,1.657783,1.631472,1.641267,0.500000
124,0.905242,0.916667,0.937500,1.436064,1.520038,1.452941,0.500000
125,0.562500,0.530797,0.514583,1.691526,1.768814,1.673650,1.000000
126,1.000000,1.000000,1.000000,1.432276,1.328187,1.466667,1.000000
