subnum,run,avg_compFair,avg_compUnfair,avg_socialFair,avg_socialUnfair,avg_compFair_logRT,avg_compUnfair_logRT,avg_socialFair_logRT,avg_socialUnfair_logRT,avg_compFair_RT,avg_compUnfair_RT,avg_socialFair_RT,avg_socialUnfair_RT,misses
104,1,1.000000,1.000000,1.000000,1.000000,0.326257,0.332437,0.345721,0.317831,1.390850,1.399909,1.441331,1.399505,0.000000
104,2,1.000000,1.000000,1.000000,1.000000,0.394965,0.313285,0.359597,0.357066,1.504205,1.368370,1.457765,1.455311,0.000000
105,1,0.875000,0.285714,0.825000,0.575000,0.467048,0.470681,0.479982,0.521706,1.601669,1.642096,1.628792,1.722284,0.000000
105,2,0.875000,0.500000,0.718750,0.656250,0.444627,0.536615,0.449094,0.486151,1.562936,1.749972,1.576220,1.642023,0.000000
106,1,0.750000,0.125000,0.625000,0.400000,0.334397,0.239960,0.246480,0.277627,1.399302,1.289381,1.294116,1.336423,0.000000
106,2,0.750000,0.062500,0.406250,0.281250,0.291156,0.271328,0.229269,0.242035,1.357685,1.351189,1.285868,1.301843,0.000000
107,1,0.437500,0.312500,0.593750,0.437500,0.444439,0.498199,0.454550,0.427273,1.629014,1.701214,1.624233,1.584259,0.000000
107,2,0.625000,0.250000,0.736842,0.512821,0.404259,0.367358,0.331089,0.304187,1.554118,1.500112,1.422289,1.386916,0.000000
108,1,0.812500,0.250000,0.718750,0.562500,0.199757,0.441249,0.275137,0.193025,1.258847,1.579080,1.335227,1.235071,0.000000
108,2,0.875000,0.250000,0.775000,0.525000,0.099046,0.021468,0.024714,0.024153,1.129054,1.021713,1.025033,1.024459,0.000000
109,1,1.000000,1.000000,0.972973,0.944444,0.622723,0.625970,0.604914,0.624961,1.937294,1.921075,1.870186,1.924720,0.000000
109,2,1.000000,0.800000,0.785714,0.769231,0.411401,0.518484,0.491734,0.486934,1.540722,1.758959,1.713712,1.695325,0.000000
110,1,1.000000,0.500000,0.750000,0.575000,0.028749,0.025330,0.026796,0.029981,1.029213,1.025666,1.027200,1.030751,0.000000
110,2,0.875000,0.375000,0.625000,0.531250,0.028045,0.027078,0.029105,0.029779,1.028523,1.027459,1.029871,1.030568,0.000000
111,1,0.875000,0.250000,0.666667,0.475000,0.216501,0.158554,0.288751,0.257192,1.340673,1.182615,1.415408,1.367431,0.000000
111,2,0.875000,0.625000,0.718750,0.687500,0.097950,0.086102,0.073840,0.105458,1.128592,1.101802,1.084435,1.128752,0.000000
112,1,0.875000,0.812500,0.781250,0.781250,0.405915,0.515011,0.473809,0.502288,1.519471,1.702326,1.617763,1.667572,0.000000
112,2,1.000000,0.875000,0.800000,0.700000,0.423275,0.378858,0.368805,0.385228,1.532701,1.463656,1.457105,1.485011,0.000000
113,1,0.812500,0.125000,0.562500,0.406250,0.447363,0.489676,0.470092,0.448335,1.575777,1.654175,1.614094,1.572621,0.000000
113,2,0.750000,0.125000,0.700000,0.425000,0.415848,0.403133,0.403486,0.401647,1.525774,1.499275,1.511076,1.510822,0.000000
115,1,0.571429,0.500000,0.525000,0.500000,0.760640,0.427318,0.493518,0.482440,2.157439,1.549345,1.657421,1.638975,0.000000
115,2,0.666667,0.562500,0.580645,0.709677,0.387801,0.388704,0.431867,0.424515,1.477209,1.487424,1.552128,1.541287,0.000000
116,1,0.750000,0.125000,0.650000,0.435897,0.399403,0.297486,0.298866,0.322761,1.511197,1.346881,1.349411,1.388603,0.000000
116,2,0.750000,0.125000,0.437500,0.281250,0.326289,0.321333,0.304041,0.295899,1.388984,1.382829,1.356942,1.347471,0.000000
117,1,0.875000,0.750000,0.843750,0.812500,0.321808,0.337650,0.329247,0.363333,1.384780,1.409940,1.395913,1.445032,0.000000
117,2,1.000000,0.750000,0.900000,0.825000,0.314724,0.410588,0.316283,0.320491,1.372132,1.527058,1.378568,1.383103,0.000000
118,1,0.625000,0.375000,0.725000,0.525000,0.695853,0.389397,0.307870,0.306493,2.081747,1.490760,1.374451,1.370660,0.000000
118,2,1.000000,0.875000,0.843750,0.906250,0.332086,0.252738,0.184730,0.253087,1.411661,1.301988,1.221621,1.305492,0.000000
120,1,0.750000,0.250000,0.531250,0.343750,0.108231,0.225482,0.172171,0.146453,1.119609,1.270874,1.205252,1.170592,0.000000
120,2,0.750000,0.250000,0.650000,0.400000,0.064530,0.062389,0.075162,0.080216,1.069376,1.070209,1.085200,1.092511,0.000000
121,1,0.750000,0.187500,0.656250,0.562500,0.477087,0.388959,0.339598,0.361063,1.635456,1.496677,1.414820,1.446788,0.000000
121,2,1.000000,0.500000,0.850000,0.625000,0.182998,0.146532,0.255031,0.285585,1.237966,1.165591,1.298569,1.338914,0.000000
122,1,1.000000,0.812500,0.968750,0.935484,0.524458,0.545279,0.475723,0.486925,1.695846,1.746183,1.613951,1.642223,0.000000
122,2,0.875000,1.000000,0.925000,0.875000,0.428257,0.497486,0.483418,0.471654,1.540860,1.648244,1.632520,1.621153,0.000000
124,1,1.000000,0.866667,0.906250,0.906250,0.391117,0.320820,0.390916,0.414407,1.493882,1.389789,1.498571,1.540658,0.000000
124,2,1.000000,0.750000,0.975000,0.875000,0.318950,0.350805,0.361231,0.378034,1.384095,1.473134,1.458279,1.479599,0.000000
125,1,0.875000,0.250000,0.500000,0.451613,0.450155,0.490903,0.552143,0.541857,1.576511,1.647754,1.756321,1.738252,0.000000
125,2,0.875000,0.250000,0.700000,0.450000,0.534751,0.599174,0.539499,0.565062,1.712752,1.829085,1.736372,1.779297,0.000000
126,1,1.000000,1.000000,1.000000,1.000000,0.395986,0.405208,0.323423,0.357294,1.492635,1.516646,1.398956,1.454166,0.000000
126,2,1.000000,1.000000,1.000000,1.000000,0.245583,0.336711,0.229143,0.260607,1.291892,1.427931,1.270292,1.324951,0.000000
127,1,0.562500,0.133333,0.343750,0.187500,0.430991,0.435787,0.410152,0.379574,1.544809,1.574707,1.521040,1.464933,0.000000
127,2,0.625000,0.125000,0.475000,0.275000,0.110064,0.169159,0.372041,0.350745,1.125231,1.208144,1.459706,1.427290,0.000000
128,1,0.125000,0.000000,0.062500,0.062500,0.050802,0.082975,0.094335,0.104765,1.054994,1.096465,1.123585,1.136373,0.000000
128,2,0.125000,0.000000,0.150000,0.100000,0.096976,0.152545,0.076646,0.085241,1.125463,1.253319,1.099064,1.109151,0.000000
129,1,0.866667,0.250000,0.593750,0.468750,0.245873,0.102495,0.082912,0.082348,1.318742,1.113606,1.095792,1.091070,0.000000
129,2,0.875000,0.250000,0.750000,0.475000,0.023857,0.036811,0.037840,0.053534,1.024155,1.038011,1.039782,1.062104,0.000000
130,1,0.857143,1.000000,1.000000,1.000000,0.588603,0.553613,0.500946,0.489357,1.836156,1.749191,1.674541,1.650602,0.000000
130,2,1.000000,1.000000,1.000000,1.000000,0.468874,0.435930,0.451414,0.466980,1.601736,1.554588,1.575755,1.602199,0.000000
131,1,1.000000,0.750000,0.666667,0.612903,0.479376,0.526040,0.614930,0.549709,1.649475,1.737077,1.896493,1.779514,0.000000
131,2,1.000000,1.000000,1.000000,1.000000,0.374069,0.328875,0.200759,0.202704,1.473090,1.448696,1.263743,1.257036,0.000000
132,1,1.000000,0.933333,1.000000,1.000000,0.460226,0.494968,0.492324,0.527069,1.589827,1.643389,1.650865,1.713725,0.000000
132,2,1.000000,1.000000,1.000000,1.000000,0.479736,0.493351,0.518514,0.510215,1.621454,1.640405,1.687600,1.674719,0.000000
133,1,1.000000,1.000000,0.900000,0.937500,0.533451,0.303518,0.627730,0.577672,1.718506,1.420085,1.906178,1.804138,0.000000
133,2,1.000000,1.000000,1.000000,1.000000,0.104047,0.216424,0.265108,0.233770,1.116260,1.256682,1.328648,1.286022,0.000000
134,1,1.000000,0.937500,0.935484,0.866667,0.140550,0.117890,0.223657,0.234010,1.179400,1.144741,1.307962,1.320512,0.000000
134,2,1.000000,0.714286,0.971429,0.921053,0.045727,0.063360,0.116441,0.073155,1.048128,1.067651,1.157057,1.089868,0.000000
135,1,0.333333,0.000000,0.172414,0.178571,0.206854,0.180892,0.214795,0.297980,1.252073,1.229592,1.278386,1.409630,0.000000
135,2,0.333333,0.000000,0.175000,0.076923,0.119212,0.123509,0.120622,0.138650,1.138592,1.155837,1.155933,1.189535,0.000000
136,1,0.875000,0.562500,0.687500,0.531250,0.159505,0.304076,0.264529,0.184388,1.188948,1.441418,1.364376,1.232400,0.000000
136,2,1.000000,0.750000,0.925000,0.875000,0.110066,0.401395,0.111555,0.167801,1.126625,1.575401,1.132455,1.212392,0.000000
137,1,0.750000,0.125000,0.666667,0.410256,0.425389,0.342623,0.312340,0.275285,1.546631,1.473565,1.444963,1.392763,0.000000
137,2,0.750000,0.187500,0.483871,0.322581,0.239275,0.222165,0.218672,0.191636,1.302139,1.280404,1.298983,1.275646,0.000000
138,1,1.000000,1.000000,0.783784,0.657895,0.214193,0.249863,0.335284,0.369595,1.262296,1.359724,1.490401,1.530053,0.000000
138,2,0.846154,0.266667,0.866667,0.866667,0.372027,0.679215,0.342770,0.399591,1.544483,2.037813,1.505538,1.597749,0.000000
140,1,0.875000,0.750000,0.820513,0.700000,0.153881,0.496868,0.261505,0.328109,1.177118,1.745008,1.346505,1.460338,0.000000
140,2,0.812500,0.800000,0.843750,0.750000,0.166790,0.390769,0.299216,0.337981,1.211744,1.566166,1.398306,1.460851,0.000000
141,1,0.933333,1.000000,1.000000,1.000000,0.284945,0.219298,0.236284,0.235372,1.360073,1.277014,1.308707,1.308264,0.000000
141,2,1.000000,1.000000,1.000000,1.000000,0.204027,0.103861,0.228325,0.252757,1.254913,1.127939,1.284412,1.318520,0.000000
142,1,1.000000,1.000000,0.906250,0.875000,0.563615,0.502137,0.529571,0.499368,1.782519,1.669150,1.713019,1.664028,0.000000
142,2,1.000000,1.000000,1.000000,0.975000,0.481850,0.418888,0.437315,0.425101,1.625222,1.543851,1.581112,1.566796,0.000000
144,1,1.000000,0.812500,0.875000,0.843750,0.038536,0.152458,0.196918,0.220886,1.040391,1.190507,1.274935,1.309432,0.000000
144,2,0.875000,0.875000,0.975000,0.900000,0.075450,0.039099,0.051120,0.077260,1.083046,1.040281,1.057350,1.093369,0.000000
145,1,0.714286,0.250000,0.615385,0.358974,0.567003,0.445521,0.458565,0.413890,1.846179,1.569182,1.607195,1.544534,0.000000
145,2,0.750000,0.125000,0.437500,0.281250,0.299633,0.256523,0.310349,0.265571,1.372488,1.331728,1.412604,1.350524,0.000000
147,1,1.000000,0.687500,0.843750,0.833333,0.172607,0.596472,0.462661,0.477092,1.203439,1.897534,1.648268,1.661382,0.000000
147,2,0.875000,0.625000,0.820513,0.775000,0.144353,0.252091,0.225942,0.274064,1.181183,1.331730,1.279804,1.344033,0.000000
149,1,0.937500,0.933333,0.967742,0.888889,0.178984,0.080702,0.219257,0.251618,1.241122,1.090865,1.311410,1.368976,0.000000
149,2,1.000000,0.875000,0.975000,0.850000,0.075998,0.063105,0.072977,0.106357,1.089643,1.067686,1.088540,1.131023,0.000000
150,1,0.875000,0.625000,0.820513,0.641026,0.517428,0.482644,0.427983,0.417146,1.728642,1.672484,1.548554,1.533052,0.000000
150,2,0.875000,0.750000,0.937500,0.843750,0.407615,0.344792,0.402340,0.403091,1.513854,1.421795,1.521137,1.522329,0.000000
151,1,0.875000,0.250000,0.650000,0.450000,0.064709,0.029563,0.120025,0.137609,1.069681,1.030039,1.141192,1.177240,0.000000
151,2,0.812500,0.187500,0.500000,0.343750,0.118830,0.060880,0.110880,0.088814,1.141724,1.065280,1.136131,1.105128,0.000000
