subnum,avg_comp,avg_stranger,avg_friend,avg_comp_logRT,avg_stranger_logRT,avg_friend_logRT,avg_comp_RT,avg_stranger_RT,avg_friend_RT,misses
103,2.800000,3.336364,5.400000,0.551425,0.654288,0.478617,1.765769,1.960660,1.637093,0.200000
104,5.442424,5.666667,5.666667,0.435676,0.375544,0.393650,1.593011,1.473105,1.492526,0.200000
105,3.600000,3.600000,4.933333,0.735658,0.724762,0.664728,2.112368,2.095488,1.983292,0.600000
106,3.222222,2.803030,3.126263,0.576878,0.523529,0.511114,1.796878,1.707566,1.681800,0.666667
107,3.200000,4.266667,4.933333,0.584693,0.603674,0.558923,1.810636,1.851071,1.768065,0.000000
108,4.500000,5.151515,5.666667,0.475437,0.425015,0.392933,1.627083,1.551918,1.495704,0.200000
109,4.878788,4.886364,5.666667,0.763819,0.683422,0.729221,2.174261,2.020377,2.110898,1.000000
110,4.166667,4.666667,4.333333,0.394137,0.408254,0.347595,1.490199,1.521974,1.433650,0.000000
111,4.853333,4.799394,5.300000,0.624853,0.635277,0.626542,1.904657,1.918341,1.905547,4.800000
112,4.533333,4.900000,4.809091,0.496959,0.510129,0.502907,1.659500,1.674796,1.669930,0.200000
113,2.433333,5.457576,4.833333,0.546970,0.554075,0.511777,1.744022,1.758896,1.688804,0.200000
114,3.142424,3.266667,3.200000,0.366627,0.411394,0.407240,1.477616,1.546717,1.552446,0.200000
115,2.402020,2.106667,1.935152,0.701354,0.677721,0.610015,2.081471,2.012042,1.882164,2.400000
116,2.933333,4.100000,4.600000,0.434233,0.449935,0.410171,1.560861,1.579558,1.521977,0.000000
117,2.960606,2.733333,3.566667,0.428895,0.391171,0.385423,1.574603,1.510649,1.505783,0.200000
118,3.325253,3.139394,3.112121,0.466417,0.435809,0.476017,1.656926,1.632730,1.673527,2.000000
120,2.866667,3.033333,3.136364,0.321272,0.331104,0.368104,1.406093,1.411689,1.475923,0.200000
121,3.633333,4.030303,5.033333,0.486098,0.482790,0.436126,1.638825,1.635429,1.553228,0.200000
122,5.166667,5.100000,5.266667,0.443499,0.453778,0.392158,1.574760,1.592039,1.487188,0.000000
124,5.600000,4.866667,5.048485,0.491920,0.513163,0.544955,1.663172,1.705008,1.767546,0.200000
125,4.331515,4.083030,4.533333,0.471984,0.480707,0.480315,1.630973,1.651170,1.647753,1.400000
126,2.383636,2.920000,2.666667,0.481424,0.404372,0.425226,1.686536,1.582797,1.617630,1.000000
127,2.684848,3.633333,3.233333,0.647091,0.646254,0.657005,1.930426,1.930226,1.953458,0.200000
128,5.333333,5.587879,5.463636,0.562563,0.468598,0.477958,1.787891,1.618737,1.639982,0.600000
129,2.290130,2.600404,2.640043,0.607762,0.601437,0.586913,1.853556,1.870887,1.831803,5.400000
130,1.375758,1.633333,2.123636,0.661986,0.715174,0.790338,1.960251,2.066945,2.227234,1.000000
131,4.478788,4.975758,5.554545,0.733003,0.706412,0.740978,2.134486,2.068672,2.146567,2.200000
132,5.400000,5.200000,5.333333,0.642286,0.616599,0.625783,1.924765,1.878703,1.899171,0.000000
133,3.485455,3.330303,3.869697,0.565906,0.607391,0.556692,1.846889,1.906499,1.863523,1.800000
204,1.872727,2.966667,4.327273,0.477770,0.488245,0.469410,1.644576,1.655603,1.622894,1.000000
205,3.272727,3.687879,4.721212,0.569175,0.559739,0.454423,1.827393,1.787976,1.621797,1.400000
206,4.733333,3.300000,3.400000,0.357982,0.403312,0.331422,1.449634,1.526066,1.410183,0.000000
207,2.473485,2.050000,2.857323,0.573110,0.532739,0.664581,1.815706,1.744448,1.990599,2.250000
208,4.627273,5.300000,5.666667,0.480956,0.403356,0.356920,1.652672,1.513964,1.439048,0.200000
209,3.933333,3.700000,4.333333,0.560440,0.526910,0.466960,1.799621,1.748885,1.633610,0.000000
210,3.848485,3.208333,5.625000,0.634095,0.625521,0.538330,1.922878,1.900522,1.742292,0.250000
211,4.984848,4.762500,5.416667,0.710765,0.739855,0.748796,2.147825,2.139550,2.152006,11.250000
212,5.666667,5.666667,5.666667,0.369894,0.399252,0.374530,1.462693,1.514172,1.463650,0.000000
213,3.666667,3.479798,4.500000,0.565682,0.608625,0.566749,1.784642,1.864179,1.779210,0.666667
215,2.333333,2.358333,2.712121,0.435954,0.428991,0.507740,1.579022,1.557293,1.684420,0.750000
216,1.958333,2.125000,2.500000,0.547509,0.505056,0.455159,1.770898,1.692573,1.615295,0.000000
217,1.799242,3.814394,3.375000,0.440948,0.558335,0.504615,1.579652,1.797797,1.689540,0.500000
218,4.729293,4.906061,4.681818,0.707735,0.692470,0.695316,2.047869,2.014532,2.022009,1.400000
220,2.557576,4.315152,4.645455,0.531414,0.543378,0.502141,1.744628,1.761517,1.691975,1.400000
221,4.359848,5.208333,5.250000,0.348045,0.307889,0.294037,1.438224,1.375965,1.357192,0.250000
222,5.300000,5.233333,5.033333,0.399261,0.435269,0.410097,1.510678,1.564148,1.526302,0.000000
224,2.746212,2.996212,3.946970,0.566323,0.600761,0.562322,1.786036,1.852160,1.794812,1.000000
225,1.273333,1.511111,2.150909,0.512766,0.431993,0.522679,1.704377,1.572039,1.726663,2.000000
226,4.472727,4.033333,3.527273,0.543797,0.611490,0.596013,1.755191,1.878844,1.845210,0.800000
227,5.651515,4.878788,5.106061,0.714262,0.712454,0.687057,2.056829,2.056018,2.001807,1.500000
228,4.209091,4.233333,5.000000,0.735738,0.660972,0.621346,2.115578,1.962404,1.883325,1.000000
